CustomerKey,GeographyKey,CustomerAlternateKey,Full_Name,BirthDate,Gender,EmailAddress,AddressLine1,Phone,City,StateProvinceName,Country
11000,26,AW00011000,Jon Yang,1971-10-06,Male,jon24@adventure-works.com,3761 N. 14th St,1 (11) 500 555-0162,Rockhampton,Queensland,Australia
11001,37,AW00011001,Eugene Huang,1976-05-10,Male,eugene10@adventure-works.com,2243 W St.,1 (11) 500 555-0110,Seaford,Victoria,Australia
11002,31,AW00011002,Ruben Torres,1971-02-09,Male,ruben35@adventure-works.com,5844 Linden Land,1 (11) 500 555-0184,Hobart,Tasmania,Australia
11003,11,AW00011003,Christy Zhu,1973-08-14,Female,christy12@adventure-works.com,1825 Village Pl.,1 (11) 500 555-0162,North Ryde,New South Wales,Australia
11004,19,AW00011004,Elizabeth Johnson,1979-08-05,Female,elizabeth5@adventure-works.com,7553 Harness Circle,1 (11) 500 555-0131,Wollongong,New South Wales,Australia
11005,22,AW00011005,Julio Ruiz,1976-08-01,Male,julio1@adventure-works.com,7305 Humphrey Drive,1 (11) 500 555-0151,East Brisbane,Queensland,Australia
11006,8,AW00011006,Janet Alvarez,1976-12-02,Female,janet9@adventure-works.com,2612 Berry Dr,1 (11) 500 555-0184,Matraville,New South Wales,Australia
11007,40,AW00011007,Marco Mehta,1969-11-06,Male,marco14@adventure-works.com,942 Brook Street,1 (11) 500 555-0126,Warrnambool,Victoria,Australia
11008,32,AW00011008,Rob Verhoff,1975-07-04,Female,rob4@adventure-works.com,624 Peabody Road,1 (11) 500 555-0164,Bendigo,Victoria,Australia
11009,25,AW00011009,Shannon Carlson,1969-09-29,Male,shannon38@adventure-works.com,3839 Northgate Road,1 (11) 500 555-0110,Hervey Bay,Queensland,Australia
11010,22,AW00011010,Jacquelyn Suarez,1969-08-05,Female,jacquelyn20@adventure-works.com,7800 Corrinne Court,1 (11) 500 555-0169,East Brisbane,Queensland,Australia
11011,22,AW00011011,Curtis Lu,1969-05-03,Male,curtis9@adventure-works.com,1224 Shoenic,1 (11) 500 555-0117,East Brisbane,Queensland,Australia
11012,611,AW00011012,Lauren Walker,1979-01-14,Female,lauren41@adventure-works.com,4785 Scott Street,717-555-0164,Bremerton,Washington,United States
11013,543,AW00011013,Ian Jenkins,1979-08-03,Male,ian47@adventure-works.com,7902 Hudson Ave.,817-555-0185,Lebanon,Oregon,United States
11014,634,AW00011014,Sydney Bennett,1973-11-06,Female,sydney23@adventure-works.com,9011 Tank Drive,431-555-0156,Redmond,Washington,United States
11015,301,AW00011015,Chloe Young,1984-08-26,Female,chloe23@adventure-works.com,244 Willow Pass Road,208-555-0142,Burbank,California,United States
11016,329,AW00011016,Wyatt Hill,1984-10-25,Male,wyatt32@adventure-works.com,9666 Northridge Ct.,135-555-0171,Imperial Beach,California,United States
11017,39,AW00011017,Shannon Wang,1949-12-24,Female,shannon1@adventure-works.com,7330 Saddlehill Lane,1 (11) 500 555-0195,Sunbury,Victoria,Australia
11018,32,AW00011018,Clarence Rai,1955-10-06,Male,clarence32@adventure-works.com,244 Rivewview,1 (11) 500 555-0137,Bendigo,Victoria,Australia
11019,52,AW00011019,Luke Lal,1983-09-04,Male,luke18@adventure-works.com,7832 Landing Dr,262-555-0112,Langley,British Columbia,Canada
11020,53,AW00011020,Jordan King,1984-03-19,Male,jordan73@adventure-works.com,7156 Rose Dr.,550-555-0163,Metchosin,British Columbia,Canada
11021,536,AW00011021,Destiny Wilson,1984-03-02,Female,destiny7@adventure-works.com,8148 W. Lake Dr.,622-555-0158,Beaverton,Oregon,United States
11022,609,AW00011022,Ethan Zhang,1984-04-10,Male,ethan20@adventure-works.com,1769 Nicholas Drive,589-555-0185,Bellingham,Washington,United States
11023,298,AW00011023,Seth Edwards,1984-04-09,Male,seth46@adventure-works.com,4499 Valley Crest,452-555-0188,Bellflower,California,United States
11024,311,AW00011024,Russell Xie,1984-03-16,Male,russell7@adventure-works.com,8734 Oxford Place,746-555-0186,Concord,California,United States
11025,24,AW00011025,Alejandro Beck,1951-06-22,Male,alejandro45@adventure-works.com,2596 Franklin Canyon Road,1 (11) 500 555-0178,Hawthorne,Queensland,Australia
11026,4,AW00011026,Harold Sai,1951-10-01,Male,harold3@adventure-works.com,8211 Leeds Ct.,1 (11) 500 555-0131,Goulburn,New South Wales,Australia
11027,40,AW00011027,Jessie Zhao,1952-06-05,Male,jessie16@adventure-works.com,213 Valencia Place,1 (11) 500 555-0184,Warrnambool,Victoria,Australia
11028,17,AW00011028,Jill Jimenez,1951-10-09,Female,jill13@adventure-works.com,9111 Rose Ann Ave,1 (11) 500 555-0116,St. Leonards,New South Wales,Australia
